Time,/fdm/jsbsim/simulation/sim-time-sec,/fdm/jsbsim/position/h-sl-ft,/fdm/jsbsim/position/h-agl-ft,/fdm/jsbsim/position/lat-geod-deg,/fdm/jsbsim/position/long-gc-deg,/fdm/jsbsim/position/distance-from-start-lat-mt,/fdm/jsbsim/position/distance-from-start-lon-mt,/fdm/jsbsim/velocities/vtrue-fps,/fdm/jsbsim/velocities/mach,/fdm/jsbsim/velocities/u-fps,/fdm/jsbsim/velocities/v-fps,/fdm/jsbsim/velocities/w-fps,/fdm/jsbsim/velocities/v-north-fps,/fdm/jsbsim/velocities/v-east-fps,/fdm/jsbsim/velocities/v-down-fps,/fdm/jsbsim/velocities/p-rad_sec,/fdm/jsbsim/velocities/q-rad_sec,/fdm/jsbsim/velocities/r-rad_sec,/fdm/jsbsim/attitude/phi-rad,/fdm/jsbsim/attitude/theta-rad,/fdm/jsbsim/attitude/psi-rad,/fdm/jsbsim/aero/alpha-rad,/fdm/jsbsim/aero/beta-rad,/fdm/jsbsim/accelerations/Nx,/fdm/jsbsim/accelerations/Ny,/fdm/jsbsim/accelerations/Nz,/fdm/jsbsim/fcs/throttle-cmd-norm,/fdm/jsbsim/fcs/elevator-cmd-norm,/fdm/jsbsim/fcs/aileron-cmd-norm,/fdm/jsbsim/fcs/rudder-cmd-norm,/fdm/jsbsim/propulsion/engine/thrust-lbs,/fdm/jsbsim/propulsion/total-fuel-lbs,/fdm/jsbsim/inertia/mass-slugs,/fdm/jsbsim/atmosphere/T-R,/fdm/jsbsim/atmosphere/rho-slugs_ft3,/fdm/jsbsim/fcs/ap-master-on,/fdm/jsbsim/fcs/ap-elevator-cmd,/fdm/jsbsim/fcs/ap-aileron-cmd,/fdm/jsbsim/fcs/ap-throttle-cmd
26.9999892,26.9999891999983852,14527.0206540822983,14526.9589099217646,30.2222798996374742,120.008013232158689,6149.84561107042919,771.43808897785982,679.748370116157616,0.641716060385043585,676.283321392251992,2.85519550565447844,68.4876904331087104,614.601075747754408,290.299843881374329,7.02602360696045736,-0.00179754479033801778,0.0130185359113583303,0.0233444552028686282,0.526873435815198077,0.0790726805244425651,0.48832651821076023,0.100926619804671283,0.00420038359340536328,0.172113796683499548,-0.0075151773819567471,1.09308699870961812,0.903440802175361712,0,0,0,5272.63264988542687,4693.32574080428458,550.236469627288329,466.900380336712715,0.00151935603486689228,1,-0.288195173394928061,0.0114183945883301087,0.903440802175361712
27.09998916,27.0999891599983762,14526.312355838716,14526.2506142770217,30.2224486923351172,120.008105348372794,6168.55732786770659,780.304833107762079,679.988656147004463,0.641941168261103368,676.512424961860688,2.85088063157809302,68.6103770610271368,614.059982242334854,291.999909551466033,7.13887379687835733,-0.00197893814545880599,0.0130954909053994824,0.0233181437747940028,0.526897265407875515,0.0790312283981207259,0.491009055748060363,0.101072180704416648,0.0041925537400061292,0.177945400079299737,-0.0075010255871634365,1.09477828187720028,0.912691840629981654,0,0,0,5382.3034137787281,4693.21150132265848,550.232926150359731,466.902902726476668,0.00151939096837259177,1,-0.289526032399400002,0.0113240223502495164,0.912691840629981654
27.19998912,27.1999891199983672,14525.5930804572999,14525.5313415382043,30.2226173377527516,120.008198004155531,6187.25271824388528,789.223492500678958,680.246651966192303,0.642182966867401617,676.759401466918916,2.84667071959626128,68.7322086300584942,613.528886122048448,293.70957655158378,7.24555359801382792,-0.00215481103239258901,0.0131460634597671284,0.0232902045183535078,0.52690315606398197,0.0789966442765629995,0.493692476286654636,0.101213733296744712,0.00418477477254664519,0.183565846780880643,-0.00748838283700778169,1.09650613291855303,0.9215376660436565,0,0,0,5488.31562534239129,4693.09448406547654,550.229296337528808,466.905464208169008,0.00151942644390564785,1,-0.290851884443261266,0.0112509102639879593,0.9215376660436565
27.29998908,27.2999890799983582,14524.8634469620883,14524.8017107213454,30.2227858385457715,120.008291202500445,6205.93207656614595,798.194355097635821,680.52165821509243,0.642440797329377089,677.02370062667876,2.84261231626169319,68.8516931149538038,613.007126103651331,295.428546979494683,7.34603808496562749,-0.0023227439277362402,0.0131801245921541483,0.0232609940615015956,0.526891691175040311,0.0789671442449206423,0.496375543304277689,0.101349171666820753,0.00417711993209399397,0.18897310574106696,-0.00747737222358117997,1.09823758506893099,0.929988813501045009,0,0,0,5590.6553742069118,4692.97468903273875,550.225580188795334,466.908062577330725,0.00151946243096334906,1,-0.292177528075715287,0.0111987106953850141,0.929988813501045009
27.39998904,27.3999890399983492,14524.1240731701255,14524.0623396516476,30.2229541971917364,120.008384946301007,6224.59567748557947,807.217699204641121,680.812984674067593,0.642714009402898911,677.304701349493484,2.83874779131531341,68.9681313482020073,612.494067074603663,297.156488754754605,7.4403689537646045,-0.00248060883979493068,0.0132089635768786566,0.0232308619293890399,0.526863724205281603,0.0789418448362520925,0.499057587355071441,0.101477563809113866,0.00416965610379923298,0.19416640399074081,-0.00746810150432643868,1.09995604079725084,0.938055765751599546,0,0,0,5689.31856255843104,4692.85211622444604,550.221777704159422,466.910695633800685,0.00151949889910070707,1,-0.293505118498543105,0.0111667370698387662,0.938055765751599546
27.499989,27.4999889999983402,14523.3755713142455,14523.3138405663813,30.2231224159955154,120.008479238343199,6243.24377651004215,816.293792778660873,681.119945133996339,0.643001956622559767,677.601706419782658,2.83511457718213933,69.0816129058309656,611.989084109037321,298.89305888491532,7.52860818067428994,-0.00262659337518964106,0.0132437817378919763,0.0232001472137123091,0.526820353641787253,0.0789208254900743283,0.501738542198845727,0.101599144197131896,0.00416244273022055647,0.199146339649526299,-0.00746065933784369195,1.10166149774159705,0.945749054476537232,0,0,0,5784.31158715643778,4692.72676564059748,550.217888883621072,466.91336119730363,0.00151953581814628837,1,-0.294833935475438791,0.0111539888091933947,0.945749054476537232
27.59998896,27.5999889599983312,14522.6185482740402,14522.5568203313032,30.2232904970898986,120.008574081305582,6261.87661007054976,825.422893434614252,681.441852755965556,0.643303991922138052,677.91394755729516,2.83174436982727684,69.1929159567064289,611.491547272301887,300.637925272947257,7.61079428095902699,-0.00275921477671578269,0.0132942999668886255,0.0231691746146988654,0.526762890130378691,0.0789050644042804256,0.504418906377850917,0.101715164202667213,0.00415553067126251535,0.203914892152079252,-0.0074551104020045408,1.10336873033575311,0.953079354228815734,0,0,0,5875.65202636951835,4692.59863728119399,550.213913727180284,466.916057106627818,0.00151957315819078228,1,-0.296160528920966726,0.0111591862396881614,0.953079354228815734
27.69998892,27.6999889199983222,14521.8536097891629,14521.7918846795601,30.2234584424323884,120.008669477765991,6280.49439516880102,834.605249089916811,681.778016691916719,0.643619464455253865,678.240599786437997,2.82866242200299212,69.3033297511648527,611.000809214396213,302.390784671172241,7.68690637831922885,-0.00287732360797323013,0.013367641728704938,0.0231382498865693453,0.526692817268429092,0.0788962642959326887,0.507099639840034255,0.101827628307866638,0.00414896119871957254,0.208475327380138548,-0.00745149053030537151,1.10510378292142564,0.960057553100962191,0,0,0,5963.36911892085118,4692.46773114623466,550.209852234837172,466.918781204620416,0.00151961088937912678,1,-0.297479198862487471,0.0111808138459133163,0.960057553100962191
27.79998888,27.7999888799983133,14521.0813677385449,14521.0196455037294,30.2236262537992921,120.008765430212534,6299.09732871569395,843.841099023577954,682.127740511526895,0.643947718128747071,678.580802939114164,2.82588705557378717,69.4144266000744636,610.51619707455086,304.151375006171349,7.75684000378310401,-0.0029800977277011434,0.0134676093886974043,0.0231076549504344309,0.526611748152724046,0.0788965969062353639,0.509782012461086675,0.101938956105969605,0.00414276530769345022,0.212832009574295877,-0.0074498029545768743,1.10689931191131841,0.966694788475801592,0,0,0,6047.50386299385355,4692.33404723571948,550.205704406591508,466.92153131226496,0.00151964898155139308,1,-0.298782728490549487,0.0112171694562299366,0.966694788475801592
27.89998884,27.8999888399983043,14520.3024490959942,14520.2407297565951,30.223793932778122,120.008861941057731,6317.68558670032962,853.130675237636979,682.490322701943114,0.644288092097051068,678.933687354824997,2.82342948787976411,69.527814596102715,610.037009584311363,305.919481093058664,7.82039685610495638,-0.00306702800473994614,0.0135944162581966514,0.0230776431115628892,0.526521380134045591,0.0789084031039025829,0.512467426053814457,0.102051616496416558,0.00413696348147433481,0.216990143137997693,-0.00745001648464248527,1.10878942020929605,0.973002441649298055,0,0,0,6128.10862672051735,4692.19758554964847,550.201470242443406,466.924305196788396,0.00151968740380092936,1,-0.300063263556779536,0.0112664164742797262,0.973002441649298055
27.9999888,27.9999887999982953,14519.51750523597,14519.4557888207219,30.2239614807600354,120.008959012653406,6336.25932333601304,862.474203891107663,682.865059214431653,0.644639923189799791,679.298400505955897,2.82129401619516784,69.6449026566433673,609.56251955082962,307.694933618220887,7.87728890242996727,-0.00313789776007198339,0.0137448772424986349,0.0230484348949830317,0.526423450286651162,0.0789338884591599399,0.515157233254728952,0.102167780826022125,0.00413156597287580273,0.220955474496791399,-0.00745206606025560891,1.11080464831124548,0.978992090947306659,0,0,0,6205.24623443895871,4692.05834608802161,550.19714974239298,466.927100538521529,0.00151972612401520143,1,-0.301313220348363608,0.0113266361532353629,0.978992090947306659
28.09998876,28.0999887599982863,14518.7272201962769,14518.6655067211632,30.2241288989335821,120.009056647304305,6354.81867038078235,871.87190661077193,683.251247762319736,0.645002549990137619,679.674131369411043,2.81947854587684787,69.7667059329367305,609.091981215889518,309.477602088312324,7.92715541273160795,-0.00319275813176511658,0.0139130048382795201,0.0230202149817495122,0.526319693882009942,0.0789748521257369329,0.517852575510365454,0.102289036349481874,0.00412657358049945636,0.224733986859805446,-0.00745585566837802388,1.11296772601438265,0.984675428449280798,0,0,0,6278.98856740935207,4691.91632885083982,550.192742906439889,466.929914901473808,0.00151976510846801556,1,-0.302526108672565242,0.0113958771239850223,0.984675428449280798
28.19998872,28.1999887199982773,14517.9323165789247,14517.870606063887,30.2242961882811585,120.009154847278424,6373.36373673830985,881.32400148591978,683.64819335930531,0.645375318078122873,680.060129838181069,2.81797539413986442,69.8937128974872053,608.624641402399106,311.267383122930312,7.96959001741560513,-0.00323190145072707385,0.0140909110923970737,0.0229931305990762301,0.52621180771887599,0.0790324803435852319,0.520554258579724927,0.102416191293685968,0.00412197882102030826,0.228331619383711992,-0.00746126322055953341,1.11529055830424362,0.990064149930111492,0,0,0,6349.41478314719006,4691.7715338381031,550.188249734584588,466.932745712319104,0.00151980432152822248,1,-0.303697174108517043,0.0114721998721971016,0.990064149930111492
