t_s,h_sl_m,position_h-sl-ft,h_agl_m,position_h-agl-ft,lat_deg,lon_deg,x_north_m,x_east_m,vtrue_mps,velocities_vtrue-fps,mach,u_mps,velocities_u-fps,v_mps,velocities_v-fps,w_mps,velocities_w-fps,vn_mps,velocities_v-north-fps,ve_mps,velocities_v-east-fps,vd_mps,velocities_v-down-fps,p_radps,q_radps,r_radps,phi_rad,theta_rad,psi_rad,alpha_rad,beta_rad,nx_g,ny_g,nz_g,throttle,elevator,aileron,rudder,thrust_lb,fuel_lb,mass_kg,inertia_mass-slugs,temp_K,atmosphere_T-R,rho_kgpm3,atmosphere_rho-slugs_ft3
2.099999,4562.529388,14968.928437,4562.510035,14968.864944,30.171901,120.000000,565.043561,0.042142,263.967033,866.033573,0.818960,263.869621,865.713978,0.004108,0.013476,7.170628,23.525683,263.849726,865.648708,0.039972,0.131142,7.868606,25.815635,0.000104,-0.008657,0.000075,-0.000028,-0.002645,0.000135,0.027168,0.000016,-0.567675,-0.000063,0.785857,0.000000,0.000000,0.000000,0.000000,0.000000,4699.589117,8032.935099,550.430898,258.514829,465.326693,0.771873,0.001498
2.199999,4561.732048,14966.312492,4561.712698,14966.249009,30.172138,120.000000,591.381761,0.046230,263.415905,864.225409,0.817242,263.319511,863.909156,0.004120,0.013517,7.125597,23.377942,263.291939,863.818697,0.041848,0.137298,8.080343,26.510310,0.000089,-0.010887,0.000078,-0.000019,-0.003626,0.000143,0.027054,0.000016,-0.573844,-0.000061,0.772347,0.000000,0.000000,0.000000,0.000000,0.000000,4699.570364,8032.926593,550.430315,258.520005,465.336008,0.771939,0.001498
2.299999,4560.912825,14963.624755,4560.893479,14963.561283,30.172376,120.000001,617.663955,0.050506,262.860019,862.401638,0.815509,262.765112,862.090262,0.004058,0.013314,7.062979,23.172502,262.728737,861.970922,0.043728,0.143465,8.306536,27.252416,0.000074,-0.010986,0.000080,-0.000010,-0.004733,0.000151,0.026873,0.000015,-0.580159,-0.000058,0.756478,0.000000,0.000000,0.000000,0.000000,0.000000,4699.551610,8032.918086,550.429732,258.525322,465.345580,0.772006,0.001498
2.399999,4560.070278,14960.860491,4560.050935,14960.797030,30.172612,120.000001,643.889604,0.054969,262.299457,860.562523,0.813761,262.205034,860.252735,0.003945,0.012943,7.037438,23.088708,262.160188,860.105605,0.045611,0.149643,8.546268,28.038938,0.000061,-0.009078,0.000082,-0.000004,-0.005755,0.000159,0.026833,0.000015,-0.586237,-0.000053,0.743748,0.000000,0.000000,0.000000,0.000000,0.000000,4699.532857,8032.909580,550.429149,258.530791,465.355423,0.772076,0.001498
2.499999,4559.203295,14958.016060,4559.183956,14957.952610,30.172848,120.000001,670.058186,0.059621,261.734363,858.708539,0.811999,261.638310,858.393404,0.003806,0.012487,7.090245,23.261960,261.586582,858.223694,0.047497,0.155829,8.794004,28.851719,0.000049,-0.005687,0.000083,0.000002,-0.006513,0.000167,0.027093,0.000015,-0.591776,-0.000049,0.738370,0.000000,0.000000,0.000000,0.000000,0.000000,4699.514103,8032.901073,550.428566,258.536418,465.365552,0.772147,0.001498
2.599999,4558.311485,14955.090174,4558.292149,14955.026736,30.173084,120.000001,696.169219,0.064462,261.164921,856.840294,0.810223,261.064483,856.510770,0.003665,0.012023,7.242381,23.761092,261.008370,856.326674,0.049383,0.162018,9.041263,29.662938,0.000038,-0.001580,0.000082,0.000006,-0.006891,0.000175,0.027735,0.000014,-0.596589,-0.000045,0.742577,0.000000,0.000000,0.000000,0.000000,0.000000,4699.495350,8032.892567,550.427984,258.542206,465.375972,0.772221,0.001498
2.699999,4557.395364,14952.084529,4557.376032,14952.021103,30.173319,120.000001,722.222267,0.069491,260.591329,854.958430,0.808435,260.483596,854.604974,0.003539,0.011610,7.492478,24.581619,260.426082,854.416280,0.051269,0.168205,9.278695,30.441912,0.000028,0.002409,0.000082,0.000009,-0.006858,0.000184,0.028756,0.000014,-0.600616,-0.000042,0.756388,0.000000,0.000000,0.000000,0.000000,0.000000,4699.476596,8032.884060,550.427401,258.548153,465.386675,0.772297,0.001499
2.799999,4556.456343,14949.003751,4556.437015,14948.940338,30.173553,120.000001,748.216950,0.074708,260.013765,853.063533,0.806633,259.896160,852.677690,0.003439,0.011283,7.819462,25.654404,259.840223,852.494169,0.053153,0.174386,9.498088,31.161705,0.000020,0.005552,0.000081,0.000012,-0.006460,0.000192,0.030078,0.000013,-0.603924,-0.000040,0.777860,0.000000,0.000000,0.000000,0.000000,0.000000,4699.457843,8032.875554,550.426818,258.554248,465.397646,0.772374,0.001499
2.899999,4555.496529,14945.854753,4555.477204,14945.791353,30.173787,120.000001,774.152932,0.080113,259.432366,851.156055,0.804820,259.303095,850.731940,0.003371,0.011059,8.188834,26.866255,259.251185,850.561631,0.055033,0.180554,9.693928,31.804225,0.000012,0.007363,0.000079,0.000013,-0.005805,0.000200,0.031570,0.000013,-0.606695,-0.000039,0.803695,0.000000,0.000000,0.000000,0.000000,0.000000,4699.439090,8032.867048,550.426235,258.560477,465.408859,0.772453,0.001499
2.999999,4554.518406,14942.645688,4554.499085,14942.582300,30.174021,120.000001,800.029907,0.085706,258.847218,849.236278,0.802995,258.705610,848.771686,0.003332,0.010932,8.560925,28.087025,258.659188,848.619383,0.056908,0.186705,9.864243,32.363002,0.000004,0.007667,0.000078,0.000014,-0.005038,0.000208,0.033079,0.000013,-0.609190,-0.000038,0.830046,0.000000,0.000000,0.000000,0.000000,0.000000,4699.420336,8032.858541,550.425652,258.566826,465.420287,0.772534,0.001499
3.099999,4553.524473,14939.384755,4553.505157,14939.321381,30.174254,120.000001,825.847582,0.091486,258.258353,847.304309,0.801158,258.104978,846.801111,0.003318,0.010885,8.899276,29.197100,258.064256,846.667508,0.058775,0.192831,10.010651,32.843342,-0.000004,0.006604,0.000077,0.000014,-0.004306,0.000215,0.034466,0.000013,-0.611704,-0.000039,0.853341,0.000000,0.000000,0.000000,0.000000,0.000000,4699.401583,8032.850035,550.425069,258.573277,465.431899,0.772616,0.001499
3.199999,4552.516917,14936.079124,4552.497605,14936.015763,30.174486,120.000001,851.605655,0.097452,257.665527,845.359341,0.799309,257.502038,844.822958,0.003320,0.010893,9.177390,30.109546,257.466015,844.704775,0.060634,0.198930,10.137607,33.259865,-0.000011,0.004568,0.000077,0.000013,-0.003729,0.000223,0.035625,0.000013,-0.615225,-0.000039,0.871315,0.000000,0.000000,0.000000,0.000000,0.000000,4699.382829,8032.841528,550.424486,258.579817,465.443671,0.772699,0.001499
3.299999,4551.497416,14932.734304,4551.478108,14932.670957,30.174718,120.000001,877.303728,0.103603,257.067662,843.397842,0.797444,256.896388,842.835919,0.003331,0.010928,9.382364,30.782035,256.863204,842.727047,0.062483,0.204996,10.250538,33.630373,-0.000018,0.002119,0.000076,0.000012,-0.003380,0.000231,0.036506,0.000013,-0.619735,-0.000040,0.883172,0.000000,0.000000,0.000000,0.000000,0.000000,4699.364076,8032.833022,550.423903,258.586435,465.455582,0.772783,0.001499
3.399999,4550.467053,14929.353847,4550.447749,14929.290514,30.174949,120.000001,902.941334,0.109939,256.464913,841.420317,0.795564,256.288258,840.840740,0.003343,0.010968,9.517369,31.224965,256.255736,840.734041,0.064321,0.211027,10.355923,33.976124,-0.000024,-0.000168,0.000076,0.000010,-0.003272,0.000238,0.037118,0.000013,-0.624358,-0.000041,0.888243,0.000000,0.000000,0.000000,0.000000,0.000000,4699.345322,8032.824516,550.423321,258.593122,465.467620,0.772868,0.001500
3.499999,4549.426281,14925.939242,4549.406981,14925.875923,30.175180,120.000001,928.518010,0.116457,255.857569,839.427721,0.793670,255.677457,838.836800,0.003351,0.010995,9.598649,31.491629,255.643677,838.725976,0.066148,0.217020,10.459528,34.316038,-0.000029,-0.001815,0.000076,0.000007,-0.003367,0.000246,0.037524,0.000013,-0.629084,-0.000041,0.887993,0.000000,0.000000,0.000000,0.000000,0.000000,4699.326569,8032.816009,550.422738,258.599878,465.479780,0.772954,0.001500
3.599999,4548.375068,14922.490379,4548.355772,14922.427074,30.175410,120.000001,954.033302,0.123158,255.245853,837.420778,0.791762,255.063342,836.821988,0.003353,0.010999,9.650758,31.662592,255.027091,836.703056,0.067963,0.222975,10.565208,34.662754,-0.000033,-0.002516,0.000076,0.000004,-0.003585,0.000253,0.037819,0.000013,-0.633851,-0.000041,0.884713,0.000000,0.000000,0.000000,0.000000,0.000000,4699.307815,8032.807503,550.422155,258.606701,465.492061,0.773041,0.001500
3.699999,4547.313112,14919.006272,4547.293821,14918.942981,30.175640,120.000001,979.486760,0.130039,254.629893,835.399911,0.789840,254.445031,834.793409,0.003346,0.010979,9.700958,31.827289,254.406043,834.665495,0.069766,0.228891,10.674406,35.021016,-0.000036,-0.002181,0.000076,0.000001,-0.003826,0.000261,0.038107,0.000013,-0.638574,-0.000041,0.880990,0.000000,0.000000,0.000000,0.000000,0.000000,4699.289062,8032.798996,550.421572,258.613594,465.504468,0.773129,0.001500
3.799998,4546.240090,14915.485860,4546.220803,14915.422583,30.175869,120.000001,1004.877943,0.137100,254.009728,833.365249,0.787906,253.821624,832.748110,0.003334,0.010937,9.773698,32.065939,253.780604,832.613530,0.071557,0.234767,10.786186,35.387751,-0.000038,-0.000927,0.000076,-0.000003,-0.003989,0.000269,0.038487,0.000013,-0.643163,-0.000041,0.879181,0.000000,0.000000,0.000000,0.000000,0.000000,4699.270309,8032.790490,550.420989,258.620558,465.517005,0.773217,0.001500
3.899998,4545.155874,14911.928720,4545.136591,14911.865457,30.176097,120.000001,1030.206414,0.144339,253.385325,831.316682,0.785959,253.192387,830.683684,0.003316,0.010880,9.886251,32.435205,253.150859,830.547437,0.073336,0.240604,10.897709,35.753639,-0.000039,0.000963,0.000076,-0.000007,-0.003995,0.000276,0.039027,0.000013,-0.647542,-0.000040,0.880985,0.000000,0.000000,0.000000,0.000000,0.000000,4699.251555,8032.781983,550.420406,258.627596,465.529672,0.773307,0.001500
3.999998,4544.060681,14908.335566,4544.041403,14908.272318,30.176325,120.000002,1055.471749,0.151756,252.756607,829.253959,0.783998,252.556878,828.598681,0.003297,0.010816,10.046180,32.959907,252.516903,828.467529,0.075103,0.246401,11.005016,36.105696,-0.000038,0.003113,0.000076,-0.000011,-0.003797,0.000284,0.039757,0.000013,-0.651657,-0.000040,0.887194,0.000000,0.000000,0.000000,0.000000,0.000000,4699.232802,8032.773477,550.419823,258.634704,465.542468,0.773397,0.001501
4.099998,4542.955142,14904.708472,4542.935869,14904.645239,30.176552,120.000002,1080.673532,0.159348,252.123490,827.176803,0.782023,251.915010,826.492816,0.003278,0.010755,10.250935,33.631676,251.878841,826.374150,0.076858,0.252158,11.103944,36.430264,-0.000036,0.005134,0.000076,-0.000015,-0.003386,0.000292,0.040670,0.000013,-0.655484,-0.000040,0.897643,0.000000,0.000000,0.000000,0.000000,0.000000,4699.214048,8032.764971,550.419240,258.641880,465.555384,0.773489,0.001501
4.199998,4541.840281,14901.050792,4541.821013,14900.987574,30.176779,120.000002,1105.811358,0.167115,251.485912,825.085015,0.780034,251.267063,824.367004,0.003263,0.010705,10.489391,34.414013,251.236781,824.267654,0.078600,0.257874,11.190974,36.715794,-0.000033,0.006700,0.000076,-0.000018,-0.002792,0.000299,0.041722,0.000013,-0.659033,-0.000039,0.911347,0.000000,0.000000,0.000000,0.000000,0.000000,4699.195295,8032.756464,550.418658,258.649116,465.568409,0.773581,0.001501
4.299998,4540.717412,14897.366838,4540.698148,14897.303636,30.177005,120.000002,1130.884834,0.175056,250.843863,822.978553,0.778032,250.613631,822.223199,0.003252,0.010670,10.744832,35.252073,250.590827,822.148382,0.080329,0.263547,11.263863,36.954931,-0.000029,0.007600,0.000076,-0.000021,-0.002071,0.000307,0.042848,0.000013,-0.662343,-0.000039,0.926777,0.000000,0.000000,0.000000,0.000000,0.000000,4699.176541,8032.747958,550.418075,258.656404,465.581528,0.773674,0.001501
4.399998,4539.587995,14893.661401,4539.568735,14893.598213,30.177231,120.000002,1155.893574,0.183168,250.197390,820.857577,0.776016,249.955523,820.064051,0.003248,0.010655,10.998651,36.084813,249.941073,820.016644,0.082045,0.269178,11.321973,37.145580,-0.000025,0.007768,0.000076,-0.000024,-0.001294,0.000314,0.043974,0.000013,-0.665483,-0.000039,0.942201,0.000000,0.000000,0.000000,0.000000,0.000000,4699.157788,8032.739451,550.417492,258.663735,465.594723,0.773767,0.001501
4.499998,4538.453472,14889.939212,4538.434217,14889.876039,30.177456,120.000002,1180.837202,0.191452,249.546602,818.722448,0.773986,249.293610,817.892421,0.003249,0.010659,11.234002,36.856963,249.287601,817.872706,0.083749,0.274766,11.366258,37.290874,-0.000020,0.007277,0.000075,-0.000026,-0.000531,0.000322,0.045033,0.000013,-0.668529,-0.000039,0.956035,0.000000,0.000000,0.000000,0.000000,0.000000,4699.139034,8032.730945,550.416909,258.671099,465.607978,0.773861,0.001502
4.599998,4537.315091,14886.204368,4537.295841,14886.141211,30.177680,120.000002,1205.716045,0.199905,248.912743,816.642858,0.772009,248.649755,815.780037,0.003256,0.010681,11.439091,37.529827,248.651541,815.785897,0.085446,0.280336,11.399882,37.401188,-0.000015,0.006235,0.000075,-0.000028,0.000158,0.000329,0.045972,0.000013,-0.631982,-0.000039,0.965409,0.000000,0.000000,0.000000,0.000000,0.000000,4699.120281,8032.722439,550.416326,258.678488,465.621278,0.773955,0.001502
4.699998,4536.173714,14882.459692,4536.154468,14882.396550,30.177904,120.000002,1230.533270,0.208528,248.317101,814.688651,0.770151,248.045738,813.798352,0.003267,0.010720,11.605797,38.076762,248.054036,813.825578,0.087147,0.285914,11.426723,37.489249,-0.000011,0.004815,0.000075,-0.000029,0.000722,0.000337,0.046755,0.000013,-0.592498,-0.000039,0.971292,0.000000,0.000000,0.000000,0.000000,0.000000,4699.101527,8032.713932,550.415743,258.685896,465.634613,0.774049,0.001502
4.799998,4535.029853,14878.706868,4535.010612,14878.643742,30.178127,120.000002,1255.292687,0.217321,247.759126,812.858026,0.768409,247.481209,811.946222,0.003282,0.010769,11.731839,38.490284,247.494387,811.989459,0.088850,0.291504,11.450110,37.565978,-0.000006,0.003325,0.000075,-0.000030,0.001138,0.000344,0.047370,0.000013,-0.553701,-0.000039,0.973604,0.000000,0.000000,0.000000,0.000000,0.000000,4699.082774,8032.705426,550.415160,258.693321,465.647978,0.774144,0.001502
4.899998,4533.883692,14874.946495,4533.864455,14874.883384,30.178350,120.000002,1279.998054,0.226285,247.238451,811.149773,0.766784,246.955631,810.221887,0.003299,0.010823,11.822342,38.787213,246.972080,810.275854,0.090559,0.297108,11.473230,37.641830,-0.000002,0.002055,0.000076,-0.000031,0.001414,0.000352,0.047836,0.000013,-0.515554,-0.000039,0.972784,0.000000,0.000000,0.000000,0.000000,0.000000,4699.064021,8032.696919,550.414577,258.700760,465.661368,0.774238,0.001502
4.999998,4532.735124,14871.178230,4532.715893,14871.115134,30.178573,120.000002,1304.653078,0.235419,246.754715,809.562715,0.765272,246.468175,808.622621,0.003315,0.010877,11.888161,39.003154,246.486642,808.683207,0.092273,0.302732,11.498550,37.724901,0.000002,0.001228,0.000076,-0.000031,0.001581,0.000359,0.048197,0.000013,-0.477984,-0.000039,0.969798,0.000000,0.000000,0.000000,0.000000,0.000000,4699.045267,8032.688413,550.413995,258.708215,465.674788,0.774333,0.001502
5.099998,4531.583853,14867.401093,4531.564626,14867.338013,30.178795,120.000003,1329.261421,0.244726,246.307554,808.095650,0.763874,246.017819,807.145077,0.003331,0.010928,11.943358,39.184244,246.037641,807.210108,0.093994,0.308379,11.527433,37.819661,0.000006,0.000968,0.000076,-0.000030,0.001691,0.000367,0.048509,0.000014,-0.440897,-0.000038,0.965908,0.000000,0.000000,0.000000,0.000000,0.000000,4699.026514,8032.679906,550.413412,258.715688,465.688238,0.774429,0.001503
